id;Consent_000_RAW;Consent_001_RAW;ExperimentsIssues_000_RAW;ExperimentsIssues_001_RAW;ExperimentsIssues_002_RAW;ExperimentsIssues_003_RAW;ExperimentsIssues_004_RAW;ExperimentsIssues_005_RAW;Goodbye_001_RAW
071jagnt41ukona9m914;;;NA;NA;NA;NA;NA;NA;NA
10;;;;Always;"My friends do not have errors in their protocols; Other";NA;oj9xkqfOeJblGknQcugtS8ZySWXbOpupRlW9nzNl8XpDdxl3oxhL10prgxn8iBCzq6wPp;Student (Master, PhD,...);f1wjh61g9rr1hfq8k2tk
100;;;;Sometimes;"Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over";NA;NA;Senior academic;f7cm9a5olt0x5flycpzo
101;;;;Never;NA;No, but my Research assistant is;NA;Early Career Academic;xaecwa4swbl7wymhyrsu
102;;;;Sometimes;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;VODIaUvHlrlqP3Zks1cb4PLCqGpNoJRr6yBw9J;Postdoc or non-ternure track Academic;xog9nxyasszcsut1r3lr
103;;;;Rarely;"Important content errors; Data preparation was harder than it could have been; My friends do not have errors in their protocols";NA;NA;Postdoc or non-ternure track Academic;pted5jrhfx239993t778
104;;;;Often;"Spelling errors; Important content errors; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";NA;ExptIuT9TLmuIaSABnqTQhV5Pq9jSvJqasWVPjEXdYlJXhorJhaiNK4P4724XO6h3a1oexUNgeMHo329R2NzdBe92l;Postdoc or non-ternure track Academic;5cgtgtjklmn9kgy3n6f6
105;;;;Sometimes;"Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Early Career Academic;mhrr3ox4y4qtnrnjz05x
106;;;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;grxqUDs8iGKDV3aSv;Student (Master, PhD,...);80qgjy2qxph93kz397t8
107;;;;Sometimes;"Spelling errors; Errors in the coding of items; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;9J5a5My0kJm7UiqP9;Student (Master, PhD,...);p1541kh703yq7rsdc68y
108;;;;Often;"Spelling errors; Important content errors";NA;NA;Student (Master, PhD,...);v7xfyponpgk5alurzoxt
109;;;;Sometimes;"Important content errors; My friends do not have errors in their protocols";NA;NA;Student (Master, PhD,...);he026qlp3hrrxfvgog95
