id,ExperimentsIssues_000_RAW,ExperimentsIssues_001_RAW,ExperimentsIssues_002_RAW,ExperimentsIssues_003_RAW,ExperimentsIssues_004_RAW,ExperimentsIssues_005_RAW,ExperimentsIssues_000_DIR,ExperimentsIssues_001_DIR,ExperimentsIssues_IssuesExperiments_DIRd,ExperimentsIssues_003_DIR,ExperimentsIssues_005_DIR,ExperimentsIssues_RAW_NA,ExperimentsIssues_DIR_NA,ExperimentsIssues_FrequencyIssues_DIRd,ExperimentsIssues_WhoIsGod_DIRd,ExperimentsIssues_Experience_DIRd
10,,Always,My friends do not have errors in their protocols; Other,NA,oj9xkqfOeJblGknQcugtS8ZySWXbOpupRlW9nzNl8XpDdxl3oxhL10prgxn8iBCzq6wPp,"Student (Master, PhD,...)",,Always,My friends do not have errors in their protocols; Other; oj9xkqfOeJblGknQcugtS8ZySWXbOpupRlW9nzNl8XpDdxl3oxhL10prgxn8iBCzq6wPp,NA,1,1,1,Always,NA,1
100,,Sometimes,Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over,NA,NA,Senior academic,,Sometimes,Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; NA,NA,4,2,2,Sometimes,NA,4
101,,Never,NA,"No, but my Research assistant is",NA,Early Career Academic,,Never,NA; NA,My research assistant,3,2,2,Never,My research assistant,3
102,,Sometimes,Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,VODIaUvHlrlqP3Zks1cb4PLCqGpNoJRr6yBw9J,Postdoc or non-ternure track Academic,,Sometimes,Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; VODIaUvHlrlqP3Zks1cb4PLCqGpNoJRr6yBw9J,NA,2,1,1,Sometimes,NA,2
103,,Rarely,Important content errors; Data preparation was harder than it could have been; My friends do not have errors in their protocols,NA,NA,Postdoc or non-ternure track Academic,,Rarely,Important content errors; Data preparation was harder than it could have been; My friends do not have errors in their protocols; NA,NA,2,2,2,Rarely,NA,2
104,,Often,Spelling errors; Important content errors; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other,NA,ExptIuT9TLmuIaSABnqTQhV5Pq9jSvJqasWVPjEXdYlJXhorJhaiNK4P4724XO6h3a1oexUNgeMHo329R2NzdBe92l,Postdoc or non-ternure track Academic,,Often,Spelling errors; Important content errors; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; ExptIuT9TLmuIaSABnqTQhV5Pq9jSvJqasWVPjEXdYlJXhorJhaiNK4P4724XO6h3a1oexUNgeMHo329R2NzdBe92l,NA,2,1,1,Often,NA,2
105,,Sometimes,Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols,NA,NA,Early Career Academic,,Sometimes,Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA,NA,3,2,2,Sometimes,NA,3
106,,Often,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,grxqUDs8iGKDV3aSv,"Student (Master, PhD,...)",,Often,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; grxqUDs8iGKDV3aSv,NA,1,1,1,Often,NA,1
107,,Sometimes,Spelling errors; Errors in the coding of items; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,9J5a5My0kJm7UiqP9,"Student (Master, PhD,...)",,Sometimes,Spelling errors; Errors in the coding of items; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; 9J5a5My0kJm7UiqP9,NA,1,1,1,Sometimes,NA,1
108,,Often,Spelling errors; Important content errors,NA,NA,"Student (Master, PhD,...)",,Often,Spelling errors; Important content errors; NA,NA,1,2,2,Often,NA,1
